id,name,post_count,tags,copyright_tags,clothing_tags,avg_score,avg_fav_count
385430,hatsune_miku,115851,"aqua eyes, aqua hair, hair between eyes, long hair, twintails, very long hair, blue eyes, blue hair","hatsune miku, vocaloid","boots, breasts, collared shirt, detached sleeves, shirt, skirt, sleeveless shirt, long sleeves, necktie, pleated skirt, hair ornament, aqua necktie, shoes, wide sleeves",10.09,9.24
12239,hakurei_reimu,83589,"brown hair, long hair, black hair, hair between eyes, sidelocks, purple eyes, purple hair","hakurei reimu, touhou, touhou (pc-98)","bow, detached sleeves, hair tubes, shirt, skirt, ascot, breasts, frills, hair bow, ribbon-trimmed sleeves, ribbon trim, long sleeves, wide sleeves, socks, japanese clothes, hakama, hakama pants, haori, pants, hakama skirt",7.16,6.51
12242,kirisame_marisa,74780,"blonde hair, braid, hair between eyes, long hair, yellow eyes, single braid","kirisame marisa, touhou, touhou (pc-98)","apron, hat, shirt, short sleeves, black dress, dress, bow, hat bow, puffy sleeves, shoes, socks, turtleneck, torn clothes, frills, purple dress, purple hat",2.25,2.15
12248,remilia_scarlet,54928,"blue hair, hair between eyes, red eyes, short hair, purple hair, medium hair","remilia scarlet, touhou","ascot, hat, hat ribbon, pink hat, puffy sleeves, ribbon, shirt, short sleeves, skirt, bow, white hat, dress, frills, hat bow, pink dress, shoes, collared shirt, socks, frilled sleeves, red dress, ribbon trim, detached sleeves, fur-trimmed sleeves, fur trim",5.93,5.48
12249,flandre_scarlet,54739,"blonde hair, red eyes, side ponytail, short hair, hair between eyes, one side up, long hair","flandre scarlet, touhou","ascot, hat, puffy short sleeves, puffy sleeves, short sleeves, skirt, vest, white hat, bow, ribbon, shirt, shoes, socks, collared shirt, frills, hat ribbon",13.52,12.85
12314,izayoi_sakuya,47610,"blue eyes, braid, grey hair, large breasts, long hair, twin braids, medium hair, white hair, hair between eyes, short hair","izayoi sakuya, touhou","apron, bow, breasts, dress, hair bow, maid, maid headdress, short sleeves, blue dress, frills, shoes, ribbon, shirt, bowtie, puffy short sleeves, puffy sleeves, long sleeves",18.25,16.69
1478495,artoria_pendragon_(fate),40795,"ahoge, blonde hair, blue eyes, large breasts, long hair, ponytail, sidelocks, braid, green eyes, hair between eyes, medium breasts, hair bun, yellow eyes","artoria pendragon (fate), fate/grand order, fate (series), fate/stay night","bikini, breasts, hat, long sleeves, swimsuit, dress, ribbon, hair ribbon",26.89,24.48
1301082,admiral_(kancolle),38131,"green eyes, long hair, black hair, medium breasts, short hair, blue eyes, large breasts, brown hair, grey hair, hair between eyes, ponytail","admiral (kancolle), kantai collection","gloves, hair ribbon, jacket, panties, pleated skirt, ribbon, skirt, thighhighs, white gloves, breasts, school uniform, serafuku, shirt, hat, hair ornament, long sleeves, military uniform, peaked cap",22.85,28.52
388200,kochiya_sanae,37014,"dot nose, green eyes, green hair, large breasts, long hair, single sidelock","kochiya sanae, touhou","breasts, collared shirt, detached sleeves, hair ornament, hair tubes, long sleeves, shirt, skirt, sleeveless shirt, wide sleeves",16.34,14.06
12244,konpaku_youmu,36582,"blue eyes, short hair, white hair, grey hair, green eyes, blunt bangs","konpaku youmu, touhou","bow, bowtie, collared shirt, hairband, ribbon, shirt, shoes, short sleeves, skirt, socks, vest, frills, breasts, mary janes",12.58,12.26
12247,patchouli_knowledge,35475,"long hair, purple eyes, purple hair, large breasts, very long hair, blunt bangs","patchouli knowledge, touhou","capelet, crescent hat ornament, dress, frills, hat, hat ornament, long sleeves, ribbon, white dress, bow, breasts, hair bow, pink hat, hat ribbon, bowtie",18.12,16.41
12246,yakumo_yukari,33929,"blonde hair, long hair, hair between eyes, purple eyes, very long hair, yellow eyes, large breasts","yakumo yukari, touhou","dress, frills, gloves, hair ribbon, hat, purple dress, ribbon, short sleeves, white gloves, breasts, bow, hair bow, hat ribbon, long sleeves, tabard, white dress, white hat, ribbon choker",21.54,18.62
12308,shameimaru_aya,29917,"brown hair, hair between eyes, medium hair, red eyes, black hair, short hair, medium breasts","shameimaru aya, touhou","bow, hat, shirt, short sleeves, collared shirt, red hat, puffy short sleeves, puffy sleeves, long sleeves, neck ribbon, ribbon, skirt, breasts, frills, shoes, socks, geta",22.11,19.84
12304,reisen_udongein_inaba,27970,"long hair, purple hair, very long hair, hair between eyes, rabbit tail, red eyes, tail, large breasts","reisen udongein inaba, touhou","blazer, jacket, long sleeves, pleated skirt, skirt, breasts, necktie, red necktie, shirt, collared shirt, loafers, shoes, socks, short sleeves",20.19,18.79
427143,komeiji_satori,27033,"pink hair, purple eyes, purple hair, short hair, hair between eyes, pink eyes","komeiji satori, touhou","buttons, frills, hair ornament, shirt, hairband, long sleeves, skirt, wide sleeves, floral print, frilled sleeves, dress, sleeves past fingers, sleeves past wrists, slippers, socks",10.1,8.57
592925,kaname_madoka,26971,"pink eyes, pink hair, short hair, twintails, hair between eyes, short twintails, long hair, dot nose","kaname madoka, mahou shoujo madoka magica, mahou shoujo madoka magica (anime)","bow, bubble skirt, collarbone, dress, frills, gloves, hair bow, pink dress, short sleeves, skirt, white gloves, puffy sleeves, hair ribbon, ribbon, bow choker, gem, puffy short sleeves, shoes, white dress, frilled sleeves, socks, miniskirt",7.97,7.37
11374,hong_meiling,25730,"braid, long hair, red hair, twin braids, very long hair, large breasts, blue eyes, parted bangs","hong meiling, touhou","bow, breasts, green hat, hair bow, hat, hat ornament, shirt, star hat ornament, vest, chinese clothes, dress, shoes, short sleeves, collared shirt, neck ribbon, ribbon, puffy short sleeves, puffy sleeves, skirt",25.0,21.25
1631198,sensei_(blue_archive),24104,"blue eyes, long hair, pink hair, very long hair, yellow eyes, small breasts, black hair, blonde hair, large breasts, red eyes, twintails","sensei (blue archive), blue archive","jacket, open clothes, breasts, long sleeves, shirt, skirt, school uniform, gloves, hair ornament, hat",41.8,39.27
